s,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2
 8.5222527E+001, 7.3894057E+001, 2.1082018E+001, 7.0240873E+001, 6.8084316E+001, 6.8091836E+001, 5.5916028E+001, 2.0768402E+001, 2.1726947E+001, 2.2392042E+001, 2.0865864E+001, 6.4172658E-001, 2.8400489E-001
 8.5421677E+001, 7.4765667E+001, 2.1122222E+001, 6.9557118E+001, 6.7923476E+001, 6.7231517E+001, 5.5510057E+001, 2.0740373E+001, 2.1724230E+001, 2.2407680E+001, 2.0897805E+001, 6.5310639E-001, 2.8920851E-001
 8.5620827E+001, 8.0147384E+001, 2.1113789E+001, 7.0198077E+001, 6.7311589E+001, 6.6181325E+001, 5.5549889E+001, 2.0827132E+001, 2.1681905E+001, 2.2372916E+001, 2.0907544E+001, 6.4302208E-001, 2.8655535E-001
 8.5819977E+001, 7.6113837E+001, 2.1129989E+001, 7.1991115E+001, 6.6325841E+001, 6.5406464E+001, 5.6787102E+001, 2.1055460E+001, 2.1672240E+001, 2.2368711E+001, 2.0923653E+001, 6.4032123E-001, 2.8332953E-001
 8.6019135E+001, 7.4190523E+001, 2.1148618E+001, 7.3737935E+001, 6.5508216E+001, 6.5209499E+001, 5.9257087E+001, 2.1430448E+001, 2.1676267E+001, 2.2371579E+001, 2.0925255E+001, 6.3922416E-001, 2.8196667E-001
 8.6206154E+001, 7.4144543E+001, 2.1158710E+001, 7.4581433E+001, 6.5310028E+001, 6.5503023E+001, 6.2095121E+001, 2.1914840E+001, 2.1680479E+001, 2.2359798E+001, 2.0920438E+001, 6.3430979E-001, 2.7888765E-001
 8.6424980E+001, 7.3895785E+001, 2.1157319E+001, 7.4592267E+001, 6.5676905E+001, 6.5995424E+001, 6.4310945E+001, 2.2453791E+001, 2.1698634E+001, 2.2357525E+001, 2.0906474E+001, 6.3250928E-001, 2.7974145E-001
 8.6610138E+001, 7.7911215E+001, 2.1183043E+001, 7.4208460E+001, 6.6279552E+001, 6.6409430E+001, 6.5351970E+001, 2.2918112E+001, 2.1749004E+001, 2.2374383E+001, 2.0898376E+001, 6.4006242E-001, 2.8038368E-001
 8.6812332E+001, 8.5421620E+001, 2.1181159E+001, 7.4034367E+001, 6.6823933E+001, 6.6627133E+001, 6.5282452E+001, 2.3224229E+001, 2.1763780E+001, 2.2326997E+001, 2.0855459E+001, 6.2863443E-001, 2.8107279E-001
 8.7011406E+001, 8.1377167E+001, 2.1182507E+001, 7.4603018E+001, 6.7249225E+001, 6.6711227E+001, 6.4404708E+001, 2.3496733E+001, 2.1794356E+001, 2.2321530E+001, 2.0824830E+001, 6.2776581E-001, 2.8205421E-001
 8.7203247E+001, 7.6592165E+001, 2.1212606E+001, 7.5586347E+001, 6.7577992E+001, 6.6748001E+001, 6.2954798E+001, 2.3837926E+001, 2.1866333E+001, 2.2382037E+001, 2.0825395E+001, 6.5203498E-001, 2.8711230E-001
 8.7411903E+001, 7.4324621E+001, 2.1180368E+001, 7.6129229E+001, 6.7967722E+001, 6.6805253E+001, 6.1307109E+001, 2.4239837E+001, 2.1867272E+001, 2.2366525E+001, 2.0792799E+001, 6.4602724E-001, 2.8802942E-001
 8.7611847E+001, 7.1319970E+001, 2.1145661E+001, 7.5993921E+001, 6.8565113E+001, 6.6956261E+001, 6.0628533E+001, 2.4608805E+001, 2.1859207E+001, 2.2366388E+001, 2.0777744E+001, 6.4055291E-001, 2.8728917E-001
 8.7800682E+001, 6.9196788E+001, 2.1141433E+001, 7.5676673E+001, 6.9478665E+001, 6.7241491E+001, 6.1164875E+001, 2.4778030E+001, 2.1890958E+001, 2.2405412E+001, 2.0786304E+001, 6.5088693E-001, 2.9210951E-001
 8.8020615E+001, 7.3319113E+001, 2.1087338E+001, 7.5356377E+001, 7.0773101E+001, 6.7647492E+001, 6.2324704E+001, 2.4594598E+001, 2.1892759E+001, 2.2393095E+001, 2.0790457E+001, 6.5145264E-001, 2.9509003E-001
 8.8216118E+001, 8.1293159E+001, 2.1052952E+001, 7.5050718E+001, 7.2059301E+001, 6.8070227E+001, 6.3604478E+001, 2.4089169E+001, 2.1923634E+001, 2.2398968E+001, 2.0821459E+001, 6.5362289E-001, 2.9254627E-001
 8.8411621E+001, 8.4141644E+001, 2.1017666E+001, 7.4821335E+001, 7.3012589E+001, 6.8457603E+001, 6.5111876E+001, 2.3492720E+001, 2.1944145E+001, 2.2405491E+001, 2.0838728E+001, 6.4806534E-001, 2.9142176E-001
 8.8607117E+001, 8.1307164E+001, 2.0989487E+001, 7.4711703E+001, 7.3608042E+001, 6.8838361E+001, 6.6665780E+001, 2.3119803E+001, 2.1965916E+001, 2.2409530E+001, 2.0858618E+001, 6.3808721E-001, 2.8620383E-001
 8.8800064E+001, 7.9956775E+001, 2.0999071E+001, 7.4578220E+001, 7.3783627E+001, 6.9266574E+001, 6.7257578E+001, 2.3424691E+001, 2.2039030E+001, 2.2429182E+001, 2.0887896E+001, 6.3882432E-001, 2.8761918E-001
 8.9003578E+001, 8.3515603E+001, 2.1027460E+001, 7.4340272E+001, 7.3559258E+001, 6.9770873E+001, 6.5764682E+001, 2.4359099E+001, 2.2145835E+001, 2.2453624E+001, 2.0917560E+001, 6.4681415E-001, 2.9405929E-001
 8.9220215E+001, 8.5827010E+001, 2.1071308E+001, 7.4085856E+001, 7.3045895E+001, 7.0376864E+001, 6.1304719E+001, 2.5198484E+001, 2.2247686E+001, 2.2446796E+001, 2.0967578E+001, 6.4559602E-001, 2.9264825E-001
 8.9409615E+001, 8.2180364E+001, 2.1117897E+001, 7.3927664E+001, 7.2525022E+001, 7.0858012E+001, 5.5694505E+001, 2.5248762E+001, 2.2316305E+001, 2.2426703E+001, 2.1009442E+001, 6.3595549E-001, 2.8926485E-001
 8.9618607E+001, 7.9666748E+001, 2.1165634E+001, 7.3768055E+001, 7.2107512E+001, 7.0820098E+001, 5.0612671E+001, 2.4817940E+001, 2.2368789E+001, 2.2427661E+001, 2.1046761E+001, 6.3484894E-001, 2.9039791E-001
 8.9800842E+001, 7.9204248E+001, 2.1232236E+001, 7.3547556E+001, 7.1743900E+001, 7.0159065E+001, 4.5852080E+001, 2.4325129E+001, 2.2369245E+001, 2.2437744E+001, 2.1098995E+001, 6.3991141E-001, 2.9078765E-001
 9.0020554E+001, 7.7732109E+001, 2.1270283E+001, 7.3508069E+001, 7.1357829E+001, 6.9107888E+001, 4.0732802E+001, 2.3775712E+001, 2.2279512E+001, 2.2386322E+001, 2.1104757E+001, 6.3338162E-001, 2.9194016E-001
 9.0201866E+001, 7.9055413E+001, 2.1335619E+001, 7.3872571E+001, 7.1025324E+001, 6.8024518E+001, 3.6548099E+001, 2.3249247E+001, 2.2273949E+001, 2.2418398E+001, 2.1111573E+001, 6.4562953E-001, 2.9344712E-001
 9.0408096E+001, 7.9321287E+001, 2.1392566E+001, 7.4605879E+001, 7.0797446E+001, 6.6667271E+001, 3.3649109E+001, 2.2817905E+001, 2.2276998E+001, 2.2433388E+001, 2.1078290E+001, 6.5514663E-001, 2.9850180E-001
 9.0605095E+001, 7.9321342E+001, 2.1404198E+001, 7.5608917E+001, 7.0653633E+001, 6.5033045E+001, 3.1679374E+001, 2.2465853E+001, 2.2200171E+001, 2.2376475E+001, 2.0975519E+001, 6.4452586E-001, 2.9745548E-001
 9.0818031E+001, 8.2970351E+001, 2.1437243E+001, 7.6534769E+001, 7.0523121E+001, 6.3890486E+001, 3.0592698E+001, 2.2230691E+001, 2.2170345E+001, 2.2364916E+001, 2.0856912E+001, 6.4664268E-001, 2.9706891E-001
 9.1007309E+001, 8.2930456E+001, 2.1464040E+001, 7.6938881E+001, 7.0308144E+001, 6.3486822E+001, 3.0263187E+001, 2.2075762E+001, 2.2155880E+001, 2.2343488E+001, 2.0723686E+001, 6.4585703E-001, 2.9789796E-001
 9.1220245E+001, 8.3422480E+001, 2.1490672E+001, 7.6848277E+001, 7.0026588E+001, 6.3629394E+001, 3.0626078E+001, 2.1982846E+001, 2.2161635E+001, 2.2331108E+001, 2.0593872E+001, 6.4686819E-001, 2.9891526E-001
 9.1409523E+001, 8.5268572E+001, 2.1537664E+001, 7.6586352E+001, 6.9763090E+001, 6.4262427E+001, 3.1524470E+001, 2.1931477E+001, 2.2212046E+001, 2.2336900E+001, 2.0508078E+001, 6.6235199E-001, 3.0505664E-001
 9.1622459E+001, 7.9437494E+001, 2.1578132E+001, 7.6381269E+001, 6.9553637E+001, 6.5545692E+001, 3.2747431E+001, 2.1870849E+001, 2.2249852E+001, 2.2317070E+001, 2.0474287E+001, 6.6648835E-001, 3.0562409E-001
 9.1811737E+001, 7.4833109E+001, 2.1617197E+001, 7.6354034E+001, 6.9429792E+001, 6.7359591E+001, 3.4051222E+001, 2.1799303E+001, 2.2304223E+001, 2.2309016E+001, 2.0489431E+001, 6.7034099E-001, 3.0682795E-001
 9.2001015E+001, 7.8989094E+001, 2.1638627E+001, 7.6498170E+001, 6.9397825E+001, 6.9158369E+001, 3.5125974E+001, 2.1700120E+001, 2.2330161E+001, 2.2299103E+001, 2.0530558E+001, 6.6320439E-001, 3.0437620E-001
 9.2213951E+001, 7.9625988E+001, 2.1625264E+001, 7.6765140E+001, 6.9460294E+001, 7.0722485E+001, 3.6035386E+001, 2.1578347E+001, 2.2334440E+001, 2.2301981E+001, 2.0586379E+001, 6.5274755E-001, 3.0129215E-001
 9.2403221E+001, 7.9974255E+001, 2.1579329E+001, 7.7093426E+001, 6.9612925E+001, 7.1600673E+001, 3.6777514E+001, 2.1458014E+001, 2.2318648E+001, 2.2335470E+001, 2.0659211E+001, 6.4516697E-001, 2.9721516E-001
 9.2616158E+001, 9.3725481E+001, 2.1540692E+001, 7.7423284E+001, 6.9807044E+001, 7.1596043E+001, 3.7440712E+001, 2.1355382E+001, 2.2300553E+001, 2.2350670E+001, 2.0739331E+001, 6.4321615E-001, 2.9320695E-001
 9.2805435E+001, 9.4359487E+001, 2.1501381E+001, 7.7617754E+001, 6.9943078E+001, 7.0842329E+001, 3.8099111E+001, 2.1282223E+001, 2.2262229E+001, 2.2350035E+001, 2.0807222E+001, 6.3759289E-001, 2.9705533E-001
 9.3018372E+001, 7.7640126E+001, 2.1516077E+001, 7.7511520E+001, 6.9930012E+001, 6.9611664E+001, 3.8814322E+001, 2.1262580E+001, 2.2278438E+001, 2.2382520E+001, 2.0908731E+001, 6.5078075E-001, 2.9975548E-001
 9.3217941E+001, 8.2841366E+001, 2.1508646E+001, 7.7055434E+001, 6.9780585E+001, 6.8203510E+001, 3.9640389E+001, 2.1298899E+001, 2.2284134E+001, 2.2364322E+001, 2.0983840E+001, 6.5763411E-001, 3.0417226E-001
 9.3403450E+001, 8.3177756E+001, 2.1483407E+001, 7.6599127E+001, 6.9553447E+001, 6.7056757E+001, 4.0519833E+001, 2.1391504E+001, 2.2272835E+001, 2.2369364E+001, 2.1045897E+001, 6.5703117E-001, 3.0263536E-001
 9.3612137E+001, 8.0159049E+001, 2.1469060E+001, 7.6594288E+001, 6.9312284E+001, 6.6372902E+001, 4.1627723E+001, 2.1563467E+001, 2.2273564E+001, 2.2356121E+001, 2.1100913E+001, 6.5964297E-001, 3.0025418E-001
 9.3820831E+001, 7.8624352E+001, 2.1422886E+001, 7.7349894E+001, 6.9165487E+001, 6.6351130E+001, 4.3024720E+001, 2.1803361E+001, 2.2257757E+001, 2.2287122E+001, 2.1128002E+001, 6.5331474E-001, 3.0023741E-001
 9.4006340E+001, 7.8546816E+001, 2.1398952E+001, 7.8673643E+001, 6.9216719E+001, 6.6909754E+001, 4.4512317E+001, 2.2065240E+001, 2.2269850E+001, 2.2278119E+001, 2.1169496E+001, 6.5423570E-001, 3.0004553E-001
 9.4215034E+001, 8.0192674E+001, 2.1356917E+001, 8.0202310E+001, 6.9516000E+001, 6.7797993E+001, 4.6003332E+001, 2.2307873E+001, 2.2274828E+001, 2.2255509E+001, 2.1191004E+001, 6.4625055E-001, 2.9824181E-001
 9.4402855E+001, 8.1642691E+001, 2.1319184E+001, 8.1391803E+001, 7.0055804E+001, 6.8764065E+001, 4.7320173E+001, 2.2511389E+001, 2.2290824E+001, 2.2229717E+001, 2.1210912E+001, 6.3909660E-001, 2.9839897E-001
 9.4621552E+001, 7.9870119E+001, 2.1311187E+001, 8.1907266E+001, 7.0833378E+001, 6.9712796E+001, 4.8347150E+001, 2.2666160E+001, 2.2354587E+001, 2.2250053E+001, 2.1246858E+001, 6.4273901E-001, 2.9794089E-001
 9.4818924E+001, 7.7535365E+001, 2.1335338E+001, 8.2085455E+001, 7.1627411E+001, 7.0608992E+001, 4.8916022E+001, 2.2764532E+001, 2.2453878E+001, 2.2296976E+001, 2.1284364E+001, 6.5351965E-001, 2.9984260E-001
 9.5000824E+001, 7.7069364E+001, 2.1327300E+001, 8.2500615E+001, 7.2241195E+001, 7.1384449E+001, 4.8991554E+001, 2.2785688E+001, 2.2467495E+001, 2.2307093E+001, 2.1287481E+001, 6.5426126E-001, 3.0270223E-001
 9.5209000E+001, 7.7422013E+001, 2.1320104E+001, 8.3227126E+001, 7.2656549E+001, 7.1977095E+001, 4.8726568E+001, 2.2791269E+001, 2.2385935E+001, 2.2310919E+001, 2.1299313E+001, 6.5313986E-001, 2.9892667E-001
 9.5409096E+001, 7.7413561E+001, 2.1321764E+001, 8.3852699E+001, 7.2846338E+001, 7.2185984E+001, 4.8336087E+001, 2.2796939E+001, 2.2267898E+001, 2.2325408E+001, 2.1273775E+001, 6.4849126E-001, 2.9928063E-001
 9.5609184E+001, 7.6711926E+001, 2.1334593E+001, 8.3925086E+001, 7.2843354E+001, 7.1887829E+001, 4.7979121E+001, 2.2778998E+001, 2.2178047E+001, 2.2354007E+001, 2.1260333E+001, 6.4997922E-001, 3.0342279E-001
 9.5809273E+001, 7.6383195E+001, 2.1391893E+001, 8.3431106E+001, 7.2767219E+001, 7.1363531E+001, 4.7716280E+001, 2.2732769E+001, 2.2138396E+001, 2.2399547E+001, 2.1288032E+001, 6.6689047E-001, 3.0902863E-001
 9.6009369E+001, 7.8164709E+001, 2.1403394E+001, 8.2563477E+001, 7.2691151E+001, 7.0939401E+001, 4.7507936E+001, 2.2583356E+001, 2.2072723E+001, 2.2417696E+001, 2.1286392E+001, 6.7366681E-001, 3.1249377E-001
 9.6209457E+001, 7.7551787E+001, 2.1404725E+001, 8.1598727E+001, 7.2634017E+001, 7.0716088E+001, 4.7275095E+001, 2.2271873E+001, 2.1989490E+001, 2.2417717E+001, 2.1293991E+001, 6.7230618E-001, 3.1133052E-001
 9.6420662E+001, 7.7135969E+001, 2.1385833E+001, 8.0844590E+001, 7.2627123E+001, 7.0604890E+001, 4.6970667E+001, 2.1785115E+001, 2.1908976E+001, 2.2386235E+001, 2.1265359E+001, 6.6540907E-001, 3.1187302E-001
 9.6616310E+001, 7.8230573E+001, 2.1392164E+001, 8.0410920E+001, 7.2750211E+001, 7.0427908E+001, 4.6567268E+001, 2.1178446E+001, 2.1865825E+001, 2.2371314E+001, 2.1263432E+001, 6.6397658E-001, 3.1078205E-001
 9.6811951E+001, 7.9092729E+001, 2.1435427E+001, 8.0192106E+001, 7.3108671E+001, 7.0192116E+001, 4.6140042E+001, 2.0601391E+001, 2.1863861E+001, 2.2370995E+001, 2.1274433E+001, 6.7093352E-001, 3.1488164E-001
 9.7007599E+001, 8.5598761E+001, 2.1454851E+001, 8.0081342E+001, 7.3737033E+001, 6.9991397E+001, 4.5611817E+001, 2.0061337E+001, 2.1863260E+001, 2.2353106E+001, 2.1265072E+001, 6.7444651E-001, 3.1920315E-001
 9.7203239E+001, 8.4375662E+001, 2.1486361E+001, 8.0029654E+001, 7.4523241E+001, 6.9933397E+001, 4.4937758E+001, 1.9602528E+001, 2.1884962E+001, 2.2348002E+001, 2.1268291E+001, 6.8099218E-001, 3.1844178E-001
 9.7423340E+001, 8.0536076E+001, 2.1501115E+001, 7.9986094E+001, 7.5303226E+001, 7.0137246E+001, 4.4158719E+001, 1.9274493E+001, 2.1899037E+001, 2.2312838E+001, 2.1229341E+001, 6.7945243E-001, 3.1718753E-001
 9.7618988E+001, 8.3104646E+001, 2.1476117E+001, 7.9749064E+001, 7.5896261E+001, 7.0701844E+001, 4.3402242E+001, 1.9101643E+001, 2.1888286E+001, 2.2234953E+001, 2.1162685E+001, 6.6472669E-001, 3.1359029E-001
 9.7814629E+001, 8.2557835E+001, 2.1488467E+001, 7.9443749E+001, 7.6271436E+001, 7.1615995E+001, 4.2744229E+001, 1.9078302E+001, 2.1922519E+001, 2.2192859E+001, 2.1103795E+001, 6.6700549E-001, 3.1487763E-001
 9.8010277E+001, 8.3885981E+001, 2.1512718E+001, 7.9437316E+001, 7.6450653E+001, 7.2629299E+001, 4.2046233E+001, 1.9140146E+001, 2.1969117E+001, 2.2160026E+001, 2.1024960E+001, 6.7389274E-001, 3.2064294E-001
 9.8205917E+001, 8.2203546E+001, 2.1538647E+001, 7.9890289E+001, 7.6397340E+001, 7.3184325E+001, 4.1049065E+001, 1.9209677E+001, 2.2000938E+001, 2.2113432E+001, 2.0949053E+001, 6.7701178E-001, 3.2142585E-001
 9.8401566E+001, 8.6410384E+001, 2.1557154E+001, 8.0717023E+001, 7.6126454E+001, 7.2916561E+001, 3.9657640E+001, 1.9272863E+001, 2.2016281E+001, 2.2028774E+001, 2.0874174E+001, 6.7793524E-001, 3.2167504E-001
 9.8621666E+001, 8.1739779E+001, 2.1560061E+001, 8.1592891E+001, 7.5648981E+001, 7.2019607E+001, 3.8089626E+001, 1.9342068E+001, 2.2039382E+001, 2.1942234E+001, 2.0817894E+001, 6.8421151E-001, 3.2179082E-001
 9.8817307E+001, 8.1095783E+001, 2.1582282E+001, 8.2039861E+001, 7.5033047E+001, 7.1363517E+001, 3.6817860E+001, 1.9446591E+001, 2.2066022E+001, 2.1878626E+001, 2.0809170E+001, 6.9553885E-001, 3.2300791E-001
 9.9012955E+001, 7.9387376E+001, 2.1570699E+001, 8.1917104E+001, 7.4417709E+001, 7.1674343E+001, 3.5796002E+001, 1.9567926E+001, 2.2044090E+001, 2.1796104E+001, 2.0808553E+001, 6.8781194E-001, 3.2152773E-001
 9.9208595E+001, 7.7165732E+001, 2.1567923E+001, 8.1485682E+001, 7.3966765E+001, 7.2876052E+001, 3.4743719E+001, 1.9700999E+001, 2.2023528E+001, 2.1766281E+001, 2.0822921E+001, 6.8105355E-001, 3.1999628E-001
 9.9404243E+001, 7.9434214E+001, 2.1537775E+001, 8.1080546E+001, 7.3707335E+001, 7.4139024E+001, 3.3556780E+001, 1.9809135E+001, 2.1965568E+001, 2.1747761E+001, 2.0817359E+001, 6.6433384E-001, 3.1586767E-001
 9.9624344E+001, 8.2539258E+001, 2.1530603E+001, 8.0807888E+001, 7.3501867E+001, 7.4505743E+001, 3.2345705E+001, 1.9955873E+001, 2.1930865E+001, 2.1841483E+001, 2.0820271E+001, 6.5751478E-001, 3.1044726E-001
 9.9819984E+001, 7.7778282E+001, 2.1546806E+001, 8.0526955E+001, 7.3274950E+001, 7.4038864E+001, 3.1787504E+001, 2.0155969E+001, 2.1909239E+001, 2.1994238E+001, 2.0837457E+001, 6.6103295E-001, 3.1031535E-001
 1.0000571E+002, 8.1348929E+001, 2.1589581E+001, 8.0164363E+001, 7.2924821E+001, 7.4008900E+001, 3.2369766E+001, 2.0374436E+001, 2.1898322E+001, 2.2132562E+001, 2.0872375E+001, 6.6957340E-001, 3.1078665E-001
 1.0021888E+002, 8.0121845E+001, 2.1635335E+001, 7.9851464E+001, 7.2335436E+001, 7.5279277E+001, 3.4246937E+001, 2.0629563E+001, 2.1883540E+001, 2.2206555E+001, 2.0910824E+001, 6.7848069E-001, 3.1951591E-001
 1.0041226E+002, 8.0515732E+001, 2.1615471E+001, 7.9612453E+001, 7.1797875E+001, 7.7572436E+001, 3.7029033E+001, 2.0876935E+001, 2.1813081E+001, 2.2171877E+001, 2.0934462E+001, 6.6669415E-001, 3.1775151E-001
 1.0060565E+002, 8.1543227E+001, 2.1606298E+001, 7.9382973E+001, 7.1517809E+001, 7.9695994E+001, 3.9546395E+001, 2.1092291E+001, 2.1761886E+001, 2.2100938E+001, 2.0953369E+001, 6.5360865E-001, 3.0546773E-001
 1.0082322E+002, 8.1392008E+001, 2.1601223E+001, 7.9164179E+001, 7.1306529E+001, 8.1166082E+001, 4.1404725E+001, 2.1331171E+001, 2.1760988E+001, 2.2060246E+001, 2.0946405E+001, 6.5820559E-001, 3.0805716E-001
 1.0101823E+002, 8.1316244E+001, 2.1616380E+001, 7.9053649E+001, 7.1296968E+001, 8.1446858E+001, 4.2379682E+001, 2.1551478E+001, 2.1802892E+001, 2.2063769E+001, 2.0956402E+001, 6.7360744E-001, 3.1491110E-001
 1.0121324E+002, 8.1246654E+001, 2.1642771E+001, 7.9062042E+001, 7.1480711E+001, 8.0605038E+001, 4.2979889E+001, 2.1742147E+001, 2.1841026E+001, 2.2078270E+001, 2.0965512E+001, 6.8299366E-001, 3.1856000E-001
 1.0140826E+002, 8.3467838E+001, 2.1589229E+001, 7.9151959E+001, 7.1736038E+001, 7.9043749E+001, 4.3687703E+001, 2.1896547E+001, 2.1806585E+001, 2.2047363E+001, 2.0929815E+001, 6.7412571E-001, 3.1896346E-001
 1.0160327E+002, 8.1587241E+001, 2.1561464E+001, 7.9282904E+001, 7.1947933E+001, 7.7379655E+001, 4.4789920E+001, 2.1971466E+001, 2.1765955E+001, 2.2060889E+001, 2.0908487E+001, 6.6731582E-001, 3.1306542E-001
 1.0181995E+002, 7.9862322E+001, 2.1546911E+001, 7.9523311E+001, 7.2136300E+001, 7.5997892E+001, 4.6526715E+001, 2.1960083E+001, 2.1743382E+001, 2.2117176E+001, 2.0866854E+001, 6.7183673E-001, 3.1380680E-001
 1.0201497E+002, 8.2341362E+001, 2.1550997E+001, 7.9836797E+001, 7.2314492E+001, 7.4875390E+001, 4.8468114E+001, 2.1808366E+001, 2.1726513E+001, 2.2177693E+001, 2.0814440E+001, 6.8199322E-001, 3.1628330E-001
 1.0220998E+002, 8.3254438E+001, 2.1549949E+001, 8.0031694E+001, 7.2468018E+001, 7.3898511E+001, 4.9924149E+001, 2.1523142E+001, 2.1684464E+001, 2.2174600E+001, 2.0712247E+001, 6.7459582E-001, 3.1605096E-001
 1.0240500E+002, 8.3526340E+001, 2.1519790E+001, 8.0058616E+001, 7.2593503E+001, 7.3079583E+001, 5.0485702E+001, 2.1192151E+001, 2.1645866E+001, 2.2145940E+001, 2.0554704E+001, 6.6549734E-001, 3.1429954E-001
 1.0260001E+002, 8.2386752E+001, 2.1516755E+001, 7.9961095E+001, 7.2658862E+001, 7.2465424E+001, 5.0010251E+001, 2.0902511E+001, 2.1642574E+001, 2.2128555E+001, 2.0407682E+001, 6.6123533E-001, 3.1015925E-001
 1.0280802E+002, 8.1085143E+001, 2.1501903E+001, 7.9786728E+001, 7.2650496E+001, 7.2016861E+001, 4.9004340E+001, 2.0721215E+001, 2.1653252E+001, 2.2101321E+001, 2.0312313E+001, 6.5215284E-001, 3.0923958E-001
 1.0302254E+002, 8.2024382E+001, 2.1539614E+001, 7.9523465E+001, 7.2592153E+001, 7.1642047E+001, 4.8136987E+001, 2.0675656E+001, 2.1724187E+001, 2.2129728E+001, 2.0374504E+001, 6.6002307E-001, 3.0850556E-001
 1.0320358E+002, 8.2956750E+001, 2.1619903E+001, 7.9199497E+001, 7.2575362E+001, 7.1369713E+001, 4.7922784E+001, 2.0783395E+001, 2.1863757E+001, 2.2240614E+001, 2.0560944E+001, 7.0119933E-001, 3.2446357E-001
 1.0341780E+002, 8.6590925E+001, 2.1602196E+001, 7.8801420E+001, 7.2632739E+001, 7.1092742E+001, 4.8219503E+001, 2.0881720E+001, 2.1909599E+001, 2.2271155E+001, 2.0761879E+001, 6.9810612E-001, 3.2704678E-001
 1.0361060E+002, 8.4978039E+001, 2.1552684E+001, 7.8333033E+001, 7.2740353E+001, 7.0841869E+001, 4.8897628E+001, 2.0951673E+001, 2.1912636E+001, 2.2268850E+001, 2.0938399E+001, 6.7142762E-001, 3.1596838E-001
 1.0380341E+002, 8.0511824E+001, 2.1479988E+001, 7.7926486E+001, 7.2843006E+001, 7.0735914E+001, 4.9754235E+001, 2.1014712E+001, 2.1905975E+001, 2.2259580E+001, 2.1040637E+001, 6.5269293E-001, 3.1097471E-001
 1.0400693E+002, 7.7237260E+001, 2.1486076E+001, 7.7595263E+001, 7.2905288E+001, 7.0867472E+001, 5.0656615E+001, 2.1062358E+001, 2.1970728E+001, 2.2338841E+001, 2.1127795E+001, 6.5749483E-001, 3.0792995E-001
 1.0421902E+002, 7.5747608E+001, 2.1499812E+001, 7.7328707E+001, 7.2945775E+001, 7.1246491E+001, 5.1534727E+001, 2.1100926E+001, 2.2060447E+001, 2.2428620E+001, 2.1135422E+001, 6.6822220E-001, 3.1522114E-001
 1.0440753E+002, 7.5937444E+001, 2.1479119E+001, 7.7139629E+001, 7.2963170E+001, 7.1732353E+001, 5.2169247E+001, 2.1096458E+001, 2.2130703E+001, 2.2496181E+001, 2.1099271E+001, 6.7288071E-001, 3.1692186E-001
 1.0460262E+002, 7.9290387E+001, 2.1481693E+001, 7.7005527E+001, 7.2934925E+001, 7.2213025E+001, 5.2578509E+001, 2.1070383E+001, 2.2225812E+001, 2.2590258E+001, 2.1055163E+001, 6.8790658E-001, 3.1892887E-001
 1.0481397E+002, 7.9675925E+001, 2.1454174E+001, 7.6896198E+001, 7.2831995E+001, 7.2653728E+001, 5.2873490E+001, 2.1028504E+001, 2.2256207E+001, 2.2626006E+001, 2.0985923E+001, 6.8132860E-001, 3.2032999E-001
 1.0500419E+002, 7.5359086E+001, 2.1419319E+001, 7.6810698E+001, 7.2688310E+001, 7.3027195E+001, 5.3094430E+001, 2.0994726E+001, 2.2280708E+001, 2.2657648E+001, 2.0951931E+001, 6.8017946E-001, 3.2093642E-001
 1.0520287E+002, 7.3834528E+001, 2.1360849E+001, 7.6722439E+001, 7.2582183E+001, 7.3316862E+001, 5.3235337E+001, 2.0953103E+001, 2.2255345E+001, 2.2646330E+001, 2.0934925E+001, 6.6474795E-001, 3.1539653E-001
 1.0541211E+002, 7.6463274E+001, 2.1317568E+001, 7.6621480E+001, 7.2536763E+001, 7.3531031E+001, 5.3361537E+001, 2.0959257E+001, 2.2244496E+001, 2.2672369E+001, 2.0974906E+001, 6.5974943E-001, 3.1503588E-001
 1.0560629E+002, 7.9905778E+001, 2.1294967E+001, 7.6642336E+001, 7.2543273E+001, 7.3597896E+001, 5.3539833E+001, 2.1046778E+001, 2.2272756E+001, 2.2737470E+001, 2.1061908E+001, 6.6648041E-001, 3.1551326E-001
 1.0580330E+002, 8.1979042E+001, 2.1271968E+001, 7.6719290E+001, 7.2574919E+001, 7.3516278E+001, 5.3790753E+001, 2.1214448E+001, 2.2304879E+001, 2.2786979E+001, 2.1139470E+001, 6.7561190E-001, 3.1988516E-001
 1.0600861E+002, 7.7521263E+001, 2.1233965E+001, 7.6760014E+001, 7.2592413E+001, 7.3260699E+001, 5.4082890E+001, 2.1452885E+001, 2.2326232E+001, 2.2849183E+001, 2.1210665E+001, 6.8565498E-001, 3.2365545E-001
 1.0621391E+002, 7.5461918E+001, 2.1202979E+001, 7.6779859E+001, 7.2558302E+001, 7.2827779E+001, 5.4310086E+001, 2.1704703E+001, 2.2318513E+001, 2.2883889E+001, 2.1251469E+001, 6.8827826E-001, 3.2140562E-001
 1.0640457E+002, 7.7325822E+001, 2.1120266E+001, 7.6759173E+001, 7.2477395E+001, 7.2239831E+001, 5.4427629E+001, 2.1933403E+001, 2.2233704E+001, 2.2811589E+001, 2.1219747E+001, 6.6443456E-001, 3.1691205E-001
